,As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition,Number of cases tested positive for SARS-CoV-2 virus by nucleic acid tests,Number of cases tested positive for SARS-CoV-2 virus by rapid antigen tests
549,10/07/2021,,11950.0,,,,212,11652,1.0,0.0,,
550,11/07/2021,,11951.0,,,,212,11655,1.0,0.0,,
551,12/07/2021,,11951.0,,,,212,11662,1.0,0.0,,
552,13/07/2021,,11952.0,,,,212,11665,1.0,0.0,,
553,14/07/2021,,11955.0,,,,212,11669,1.0,0.0,,
554,15/07/2021,,11955.0,,,,212,11675,1.0,0.0,,
555,16/07/2021,,11956.0,,,,212,11677,1.0,0.0,,
556,17/07/2021,,11956.0,,,,212,11682,1.0,0.0,,
557,18/07/2021,,11958.0,,,,212,11682,1.0,0.0,,
558,19/07/2021,,11958.0,,,,212,11686,1.0,0.0,,
559,20/07/2021,,11965.0,,,,212,11688,1.0,0.0,,
560,21/07/2021,,11970.0,,,,212,11688,1.0,0.0,,
561,22/07/2021,,11971.0,,,,212,11690,1.0,0.0,,
562,23/07/2021,,11973.0,,,,212,11693,1.0,0.0,,
563,24/07/2021,,11975.0,,,,212,11696,1.0,1.0,,
564,25/07/2021,,11978.0,,,,212,11698,1.0,1.0,,
565,26/07/2021,,11978.0,,,,212,11701,1.0,1.0,,
566,27/07/2021,,11979.0,,,,212,11705,1.0,1.0,,
567,28/07/2021,,11980.0,,,,212,11707,1.0,0.0,,
568,29/07/2021,,11982.0,,,,212,11709,1.0,0.0,,
569,30/07/2021,,11984.0,,,,212,11712,1.0,0.0,,
570,31/07/2021,,11984.0,,,,212,11713,1.0,0.0,,
571,01/08/2021,,11987.0,,,,212,11715,1.0,0.0,,
572,02/08/2021,,11990.0,,,,212,11715,1.0,0.0,,
573,03/08/2021,,11994.0,,,,212,11719,1.0,0.0,,
574,04/08/2021,,11996.0,,,,212,11721,1.0,0.0,,
575,05/08/2021,,12002.0,,,,212,11721,1.0,0.0,,
576,06/08/2021,,12004.0,,,,212,11724,1.0,0.0,,
577,07/08/2021,,12011.0,,,,212,11725,1.0,0.0,,
578,08/08/2021,,12013.0,,,,212,11725,1.0,0.0,,
579,09/08/2021,,12015.0,,,,212,11725,1.0,0.0,,
580,10/08/2021,,12019.0,,,,212,11728,1.0,0.0,,
581,11/08/2021,,12020.0,,,,212,11731,1.0,0.0,,
582,12/08/2021,,12025.0,,,,212,11733,1.0,0.0,,
583,13/08/2021,,12030.0,,,,212,11736,1.0,0.0,,
584,14/08/2021,,12032.0,,,,212,11740,1.0,0.0,,
585,15/08/2021,,12033.0,,,,212,11748,1.0,0.0,,
586,16/08/2021,,12036.0,,,,212,11750,1.0,0.0,,
587,17/08/2021,,12039.0,,,,212,11753,1.0,0.0,,
588,18/08/2021,,12042.0,,,,212,11755,1.0,0.0,,
589,19/08/2021,,12047.0,,,,212,11759,1.0,0.0,,
590,20/08/2021,,12049.0,,,,212,11761,1.0,0.0,,
591,21/08/2021,,12052.0,,,,212,11762,1.0,0.0,,
592,22/08/2021,,12057.0,,,,212,11766,1.0,0.0,,
593,23/08/2021,,12062.0,,,,212,11766,1.0,0.0,,
594,24/08/2021,,12069.0,,,,212,11768,1.0,0.0,,
595,25/08/2021,,12074.0,,,,212,11772,1.0,0.0,,
596,26/08/2021,,12077.0,,,,212,11777,1.0,0.0,,
597,27/08/2021,,12094.0,,,,212,11779,1.0,0.0,,
598,28/08/2021,,12100.0,,,,212,11782,1.0,0.0,,
599,29/08/2021,,12107.0,,,,212,11783,1.0,0.0,,
600,30/08/2021,,12110.0,,,,212,11786,1.0,0.0,,
601,31/08/2021,,12112.0,,,,212,11791,1.0,0.0,,
602,01/09/2021,,12113.0,,,,212,11798,1.0,0.0,,
603,02/09/2021,,12113.0,,,,212,11799,1.0,0.0,,
604,03/09/2021,,12112.0,,,,212,11798,1.0,0.0,,
605,04/09/2021,,12113.0,,,,212,11802,1.0,0.0,,
606,05/09/2021,,12121.0,,,,212,11814,1.0,0.0,,
607,06/09/2021,,12123.0,,,,212,11821,1.0,0.0,,
608,07/09/2021,,12129.0,,,,212,11825,1.0,0.0,,
609,08/09/2021,,12131.0,,,,212,11831,1.0,0.0,,
610,09/09/2021,,12133.0,,,,212,11834,1.0,0.0,,
611,10/09/2021,,12138.0,,,,212,11838,1.0,0.0,,
612,11/09/2021,,12142.0,,,,212,11841,1.0,0.0,,
613,12/09/2021,,12145.0,,,,212,11846,1.0,0.0,,
614,13/09/2021,,12146.0,,,,213,11850,1.0,0.0,,
615,14/09/2021,,12148.0,,,,213,11854,1.0,0.0,,
616,15/09/2021,,12149.0,,,,213,11858,1.0,0.0,,
617,16/09/2021,,12149.0,,,,213,11862,1.0,0.0,,
618,17/09/2021,,12152.0,,,,213,11867,1.0,0.0,,
619,18/09/2021,,12157.0,,,,213,11869,1.0,0.0,,
620,19/09/2021,,12160.0,,,,213,11872,1.0,0.0,,
621,20/09/2021,,12165.0,,,,213,11874,1.0,0.0,,
622,21/09/2021,,12166.0,,,,213,11878,1.0,0.0,,
623,22/09/2021,,12167.0,,,,213,11878,1.0,0.0,,
624,23/09/2021,,12169.0,,,,213,11887,1.0,0.0,,
625,24/09/2021,,12176.0,,,,213,11888,1.0,0.0,,
626,25/09/2021,,12185.0,,,,213,11891,1.0,0.0,,
627,26/09/2021,,12193.0,,,,213,11892,1.0,0.0,,
628,27/09/2021,,12196.0,,,,213,11897,1.0,0.0,,
629,28/09/2021,,12209.0,,,,213,11901,1.0,0.0,,
630,29/09/2021,,12214.0,,,,213,11905,1.0,0.0,,
631,30/09/2021,,12217.0,,,,213,11905,1.0,0.0,,
632,01/10/2021,,12221.0,,,,213,11906,1.0,0.0,,
633,02/10/2021,,12226.0,,,,213,11909,1.0,0.0,,
634,03/10/2021,,12226.0,,,,213,11920,1.0,0.0,,
635,04/10/2021,,12230.0,,,,213,11926,1.0,0.0,,
636,05/10/2021,,12237.0,,,,213,11931,1.0,0.0,,
637,06/10/2021,,12243.0,,,,213,11935,1.0,0.0,,
638,07/10/2021,,12251.0,,,,213,11942,1.0,0.0,,
639,08/10/2021,,12253.0,,,,213,11945,1.0,0.0,,
640,09/10/2021,,12230.0,,,,213,11926,1.0,0.0,,
641,10/10/2021,,12261.0,,,,213,11947,1.0,0.0,,
642,11/10/2021,,12268.0,,,,213,11953,1.0,0.0,,
643,12/10/2021,,12272.0,,,,213,11956,1.0,0.0,,
644,13/10/2021,,12275.0,,,,213,11962,1.0,0.0,,
645,14/10/2021,,12276.0,,,,213,11971,1.0,0.0,,
646,15/10/2021,,12285.0,,,,213,11980,1.0,0.0,,
647,16/10/2021,,12291.0,,,,213,11988,1.0,0.0,,
648,17/10/2021,,12294.0,,,,213,11992,1.0,0.0,,
649,18/10/2021,,12299.0,,,,213,11994,1.0,0.0,,
650,19/10/2021,,12301.0,,,,213,11998,1.0,0.0,,
651,20/10/2021,,12305.0,,,,213,12003,1.0,0.0,,
652,21/10/2021,,12311.0,,,,213,12006,1.0,0.0,,
653,22/10/2021,,12313.0,,,,213,12012,1.0,0.0,,
654,23/10/2021,,12319.0,,,,213,12016,1.0,0.0,,
655,24/10/2021,,12323.0,,,,213,12019,1.0,0.0,,
656,25/10/2021,,12327.0,,,,213,12023,1.0,0.0,,
657,26/10/2021,,12330.0,,,,213,12029,1.0,0.0,,
658,27/10/2021,,12335.0,,,,213,12033,1.0,0.0,,
659,28/10/2021,,12337.0,,,,213,12033,1.0,0.0,,
660,29/10/2021,,12342.0,,,,213,12033,1.0,0.0,,
661,30/10/2021,,12345.0,,,,213,12034,1.0,0.0,,
662,31/10/2021,,12346.0,,,,213,12034,1.0,0.0,,
663,01/11/2021,,12347.0,,,,213,12034,1.0,0.0,,
664,02/11/2021,,12349.0,,,,213,12034,1.0,0.0,,
665,03/11/2021,,12352.0,,,,213,12034,1.0,0.0,,
666,04/11/2021,,12359.0,,,,213,12035,1.0,0.0,,
667,05/11/2021,,12360.0,,,,213,12035,1.0,0.0,,
668,06/11/2021,,12367.0,,,,213,12036,1.0,0.0,,
669,07/11/2021,,12368.0,,,,213,12036,1.0,0.0,,
670,08/11/2021,,12368.0,,,,213,12036,1.0,0.0,,
671,09/11/2021,,12369.0,,,,213,12036,1.0,0.0,,
672,10/11/2021,,12374.0,,,,213,12036,1.0,0.0,,
673,11/11/2021,,12377.0,,,,213,12037,1.0,0.0,,
674,12/11/2021,,12378.0,,,,213,12072,1.0,0.0,,
675,13/11/2021,,12380.0,,,,213,12087,1.0,0.0,,
676,14/11/2021,,12381.0,,,,213,12090,1.0,0.0,,
677,15/11/2021,,12387.0,,,,213,12092,1.0,0.0,,
678,16/11/2021,,12388.0,,,,213,12099,1.0,0.0,,
679,17/11/2021,,12391.0,,,,213,12099,1.0,0.0,,
680,18/11/2021,,12395.0,,,,213,12104,1.0,0.0,,
681,19/11/2021,,12396.0,,,,213,12106,1.0,0.0,,
682,20/11/2021,,12399.0,,,,213,12108,1.0,0.0,,
683,21/11/2021,,12401.0,,,,213,12115,1.0,0.0,,
684,22/11/2021,,12404.0,,,,213,12119,1.0,0.0,,
685,23/11/2021,,12410.0,,,,213,12121,1.0,0.0,,
686,24/11/2021,,12411.0,,,,213,12123,1.0,0.0,,
687,25/11/2021,,12417.0,,,,213,12125,1.0,0.0,,
688,26/11/2021,,12421.0,,,,213,12128,1.0,0.0,,
689,27/11/2021,,12424.0,,,,213,12130,1.0,0.0,,
690,28/11/2021,,12427.0,,,,213,12133,1.0,0.0,,
691,29/11/2021,,12430.0,,,,213,12134,1.0,0.0,,
692,30/11/2021,,12436.0,,,,213,12136,1.0,0.0,,
693,01/12/2021,,12439.0,,,,213,12140,1.0,0.0,,
694,02/12/2021,,12445.0,,,,213,12143,1.0,0.0,,
695,03/12/2021,,12448.0,,,,213,12145,1.0,0.0,,
696,04/12/2021,,12452.0,,,,213,12148,1.0,0.0,,
697,05/12/2021,,12461.0,,,,213,12149,1.0,1.0,,
698,06/12/2021,,12466.0,,,,213,12151,1.0,1.0,,
699,07/12/2021,,12471.0,,,,213,12153,1.0,0.0,,
700,08/12/2021,,12471.0,,,,213,12155,1.0,0.0,,
701,09/12/2021,,12478.0,,,,213,12156,1.0,0.0,,
702,10/12/2021,,12482.0,,,,213,12159,1.0,0.0,,
703,11/12/2021,,12483.0,,,,213,12165,1.0,0.0,,
704,12/12/2021,,12488.0,,,,213,12168,1.0,0.0,,
705,13/12/2021,,12490.0,,,,213,12173,1.0,0.0,,
706,14/12/2021,,12495.0,,,,213,12180,1.0,0.0,,
707,15/12/2021,,12496.0,,,,213,12180,1.0,0.0,,
708,16/12/2021,,12506.0,,,,213,12180,1.0,0.0,,
709,17/12/2021,,12513.0,,,,213,12180,1.0,0.0,,
710,18/12/2021,,12518.0,,,,213,12182,1.0,0.0,,
711,19/12/2021,,12526.0,,,,213,12184,1.0,0.0,,
712,20/12/2021,,12533.0,,,,213,12184,1.0,0.0,,
713,21/12/2021,,12541.0,,,,213,12184,1.0,0.0,,
714,22/12/2021,,12548.0,,,,213,12184,1.0,0.0,,
715,23/12/2021,,12550.0,,,,213,12186,1.0,0.0,,
716,24/12/2021,,12555.0,,,,213,12189,1.0,0.0,,
717,25/12/2021,,12580.0,,,,213,12189,1.0,0.0,,
718,26/12/2021,,12589.0,,,,213,12189,1.0,0.0,,
719,27/12/2021,,12598.0,,,,213,12189,1.0,0.0,,
720,28/12/2021,,12604.0,,,,213,12189,1.0,0.0,,
721,29/12/2021,,12618.0,,,,213,12191,1.0,0.0,,
722,30/12/2021,,12630.0,,,,213,12196,1.0,0.0,,
723,31/12/2021,,12649.0,,,,213,12206,1.0,0.0,,
724,01/01/2022,,,,,,213,12209,,0.0,12667.0,
725,02/01/2022,,,,,,213,12214,,0.0,12693.0,
726,03/01/2022,,,,,,213,12219,,0.0,12722.0,
727,04/01/2022,,,,,,213,12228,,0.0,12761.0,
728,05/01/2022,,,,,,213,12230,,0.0,12799.0,
729,06/01/2022,,,,,,213,12235,,0.0,12832.0,
730,07/01/2022,,,,,,213,12235,,0.0,12865.0,
731,08/01/2022,,,,,,213,12243,,0.0,12902.0,
732,09/01/2022,,,,,,213,12284,,0.0,12935.0,
733,10/01/2022,,,,,,213,12296,,0.0,12959.0,
734,11/01/2022,,,,,,213,12304,,0.0,12980.0,
735,12/01/2022,,,,,,213,12316,,0.0,13002.0,
736,13/01/2022,,,,,,213,12327,,0.0,13016.0,
737,14/01/2022,,,,,,213,12339,,0.0,13025.0,
738,15/01/2022,,,,,,213,12366,,0.0,13030.0,
739,16/01/2022,,,,,,213,12393,,0.0,13041.0,
740,17/01/2022,,,,,,213,12416,,0.0,13048.0,
741,18/01/2022,,,,,,213,12446,,0.0,13066.0,
742,19/01/2022,,,,,,213,12474,,0.0,13082.0,
743,20/01/2022,,,,,,213,12493,,0.0,13096.0,
744,21/01/2022,,,,,,213,12514,,0.0,13120.0,
745,22/01/2022,,,,,,213,12541,,0.0,13146.0,
746,23/01/2022,,,,,,213,12572,,0.0,13286.0,
747,24/01/2022,,,,,,213,12602,,0.0,13395.0,
748,25/01/2022,,,,,,213,12623,,0.0,13519.0,
749,26/01/2022,,,,,,213,12655,,0.0,13626.0,
750,27/01/2022,,,,,,213,12687,,0.0,13790.0,
751,28/01/2022,,,,,,213,12710,,0.0,13905.0,
752,29/01/2022,,,,,,213,12730,,0.0,14024.0,
753,30/01/2022,,,,,,213,12752,,0.0,14105.0,
754,31/01/2022,,,,,,213,12780,,0.0,14197.0,
755,01/02/2022,,,,,,213,12806,,0.0,14326.0,
756,02/02/2022,,,,,,213,12826,,1.0,14442.0,
757,03/02/2022,,,,,,213,12880,,1.0,14584.0,
758,04/02/2022,,,,,,213,12916,,1.0,14715.0,
759,05/02/2022,,,,,,213,12987,,1.0,15066.0,
760,06/02/2022,,,,,,213,13125,,1.0,15408.0,
761,07/02/2022,,,,,,213,13232,,1.0,16022.0,
762,08/02/2022,,,,,,213,13315,,2.0,16647.0,
763,09/02/2022,,,,,,215,13436,,2.0,17808.0,
764,10/02/2022,,,,,,216,13795,,1.0,18794.0,
765,11/02/2022,,,,,,216,14037,,2.0,20119.0,
766,12/02/2022,,,,,,219,14183,,3.0,21633.0,
767,13/02/2022,,,,,,219,14463,,4.0,22980.0,
768,14/02/2022,,,,,,221,14963,,8.0,25051.0,
769,15/02/2022,,,,,,224,14996,,8.0,26670.0,
770,16/02/2022,,,,,,227,15234,,16.0,30955.0,
771,17/02/2022,,,,,,238,15448,,0.0,37071.0,
772,18/02/2022,,,,,,259,15699,,16.0,40700.0,
773,19/02/2022,,,,,,276,15963,,16.0,46763.0,
774,20/02/2022,,,,,,288,16190,,16.0,52830.0,
775,21/02/2022,,,,,,300,16449,,16.0,60363.0,
776,22/02/2022,,,,,,336,16740,,16.0,66574.0,
777,23/02/2022,,,,,,385,17015,,16.0,75248.0,
778,24/02/2022,,,,,,425,17272,,16.0,84046.0,
779,25/02/2022,,,,,,497,17562,,16.0,94056.0,
780,26/02/2022,,,,,,577,17855,,16.0,138955.0,29635.0
781,27/02/2022,,,,,,659,18236,,16.0,171314.0,48252.0
782,28/02/2022,,,,,,744,18926,,16.0,205780.0,69964.0
783,01/03/2022,,,,,,990,19495,,16.0,238377.0,93025.0
784,02/03/2022,,,,,,1168,20085,,16.0,293730.0,114013.0
785,03/03/2022,,,,,,1366,22649,,16.0,350557.0,134177.0
786,04/03/2022,,,,,,1554,23143,,60.0,403080.0,154336.0
787,05/03/2022,,,,,,1774,23888,,61.0,440609.0,184390.0
788,06/03/2022,,,,,,2007,24513,,61.0,471617.0,193183.0
789,07/03/2022,,,,,,2287,24276,,68.0,496767.0,204428.0
790,08/03/2022,,,,,,2578,25054,,69.0,525242.0,214704.0
791,09/03/2022,,,,,,2869,25861,,68.0,551233.0,219174.0
792,10/03/2022,,,,,,3150,26740,,71.0,575623.0,226186.0
793,11/03/2022,,,,,,3444,27617,,76.0,594511.0,236679.0
794,12/03/2022,,,,,,3729,28577,,85.0,610300.0,248537.0
795,13/03/2022,,,,,,3993,29318,,101.0,623635.0,267632.0
796,14/03/2022,,,,,,4279,29693,,104.0,635675.0,282500.0
797,15/03/2022,,,,,,4568,30598,,111.0,647631.0,298309.0
798,16/03/2022,,,,,,4847,31656,,119.0,662085.0,313127.0
799,17/03/2022,,,,,,5136,32768,,119.0,670713.0,326149.0
800,18/03/2022,,,,,,5401,33842,,115.0,678679.0,338265.0
801,19/03/2022,,,,,,5650,35026,,119.0,686207.0,347334.0
802,20/03/2022,,,,,,5896,35868,,115.0,692083.0,355607.0
803,21/03/2022,,,,,,6119,36260,,117.0,696606.0,365152.0
804,22/03/2022,,,,,,6364,37496,,114.0,700902.0,375008.0
805,23/03/2022,,,,,,6569,38954,,103.0,705152.0,382998.0
806,24/03/2022,,,,,,6770,40339,,108.0,710884.0,390340.0
807,25/03/2022,,,,,,6962,41732,,105.0,715462.0,396167.0
808,26/03/2022,,,,,,7101,43179,,105.0,719346.0,401124.0
809,27/03/2022,,,,,,7252,44007,,110.0,722901.0,405606.0
810,28/03/2022,,,,,,7420,44418,,108.0,726128.0,410064.0
811,29/03/2022,,,,,,7571,45671,,97.0,729292.0,414496.0
812,30/03/2022,,,,,,7706,47140,,89.0,732286.0,418483.0
813,31/03/2022,,,,,,7825,48556,,84.0,735145.0,422270.0
814,01/04/2022,,,,,,7945,50029,,79.0,737888.0,425350.0
815,02/04/2022,,,,,,8061,51468,,79.0,740174.0,427539.0
816,03/04/2022,,,,,,8172,52339,,78.0,742006.0,429416.0
817,04/04/2022,,,,,,8262,52721,,75.0,743595.0,430965.0
818,05/04/2022,,,,,,8349,54168,,71.0,745253.0,432561.0
819,06/04/2022,,,,,,8460,54823,,74.0,746742.0,433849.0
820,07/04/2022,,,,,,8557,56314,,75.0,748110.0,435125.0
821,08/04/2022,,,,,,8643,57824,,69.0,749337.0,436390.0
822,09/04/2022,,,,,,8705,59367,,66.0,750234.0,438028.0
823,10/04/2022,,,,,,8770,60245,,62.0,751122.0,439061.0
824,11/04/2022,,,,,,8827,60605,,60.0,751820.0,439770.0
825,12/04/2022,,,,,,8886,62035,,58.0,752555.0,440468.0
826,13/04/2022,,,,,,8948,63579,,54.0,753289.0,441006.0
827,14/04/2022,,,,,,9002,65086,,58.0,753868.0,441470.0
828,15/04/2022,,,,,,9069,66797,,56.0,754339.0,441945.0
829,16/04/2022,,,,,,9110,67605,,52.0,754788.0,442290.0
